Year,Business Visitors,Holiday Visitors,Average Length of Stay,Other Visitors,Total Visitor Spend,Spend Per Day,Total Visitor Days,Total Visitor Arrivals,VFR,Country
1980,11593,38697,32.9,15198,,,2848936,82977,17489,Other excl India and Indonesia
1981,11796,40285,31.7,16040,,,2903245,87274,19153,Other excl India and Indonesia
1982,13250,40182,32.3,13560,,,2997774,88107,21115,Other excl India and Indonesia
1983,12997,39569,33.8,13202,,,3106107,85937,20169,Other excl India and Indonesia
1984,13429,43251,31.5,11780,,,3048578,89343,20883,Other excl India and Indonesia
1985,14985,51253,30.9,15071,,,3503805,104658,23349,Other excl India and Indonesia
1986,14921,63888,31,17038,,,4357134,126491,30644,Other excl India and Indonesia
1987,14156,70634,31.9,31879,,,5465671,156575,39906,Other excl India and Indonesia
1988,15522,70378,30.4,46370,,,5933856,180683,48413,Other excl India and Indonesia
1989,15803,83698,28.2,50735,,,5994443,197638,47402,Other excl India and Indonesia
1990,18307,87120,28.9,54937,,,6401008,205945,45581,Other excl India and Indonesia
1991,15618,89417,26.7,44159,,,5585482,191575,42381,Other excl India and Indonesia
1992,17562,109244,25.6,45000,,,6089590,219216,47410,Other excl India and Indonesia
1993,18833,151046,24.6,41707,,,7075197,264260,52674,Other excl India and Indonesia
1994,22379,185606,24.4,49366,,,8362655,318674,61323,Other excl India and Indonesia
1995,23509,191071,24.6,58574,,,9007134,345204,72050,Other excl India and Indonesia
1996,25123,201261,25.6,73811,,,10433864,382836,82641,Other excl India and Indonesia
1997,24761,184203,27.8,72676,972986980,126.33,10130588,364862,83222,Other excl India and Indonesia
1998,26308,173235,26.6,74658,977840461,145.13,9640595,361837,87636,Other excl India and Indonesia
1999,28009,195963,26.4,78012,1209689023,183.13,10433917,394648,92663,Other excl India and Indonesia
2000,28644,217403,27,76394,1385488497,202.31,11562033,428429,105988,Other excl India and Indonesia
2001,30564,217433,28.8,89423,1499343470,209.95,12865063,446179,108759,Other excl India and Indonesia
2002,30811,227020,29.6,97128,1822768509,241.02,13664239,462115,107155,Other excl India and Indonesia
2003,28864,211475,30.1,92651,1417026330,147.98,13488220,448278,115289,Other excl India and Indonesia
2004,31455,217720,28.3,87749,1474784455,144.53,13108600,462567,125644,Other excl India and Indonesia
2005,33824,219436,29,80001,1489087397,151.38,13459512,463609,130348,Other excl India and Indonesia
2006,33716,221735,30.2,85763,1608618617,137.88,14305799,473268,132054,Other excl India and Indonesia
2007,33851,222837,30.7,95325,1799993264,133.12,15124182,492502,140488,Other excl India and Indonesia
2008,33645,224531,32.4,97127,1646105587,137.63,16411158,506084,150781,Other excl India and Indonesia
2009,30569,228400,32.4,92936,1683991416,132.23,16167773,499568,147664,Other excl India and Indonesia
2010,31800,238577,31.6,96754,1439808411,124.95,16065573,508857,141726,Other excl India and Indonesia
2011,32574,264005,31.1,111223,1791886416,128.78,17578059,565773,157972,Other excl India and Indonesia
2012,31384,228305,30.5,103274,1374121039,120.5,15951169,522932,159969,Other excl India and Indonesia
2013,31972,242036,30.4,108192,1408229223,123.59,16455998,541386,159186,Other excl India and Indonesia
2014,33261,257282,32.3,115195,1520340584,119.05,18185824,562863,157125,Other excl India and Indonesia
2015,32430,280092,32.2,120649,1945932802,133.01,19274826,599063,165893,Other excl India and Indonesia
2016,33409,347813,30.2,131255,2164100336,144.97,20996870,696205,183728,Other excl India and Indonesia
2017,35007,381055,29,135396,2580677283,162.19,21620649,746774,195316,Other excl India and Indonesia
2018,34411,403544,28.9,137317,2403169061,152.71,22606379,781682,206410,Other excl India and Indonesia
2019,33910,419008,29,141735,2492742605,151.65,23433202,807400,212746,Other excl India and Indonesia
2020,34935,433589,29.1,145549,2505018649,149,24240266,833379,219306,Other excl India and Indonesia
2021,35371,448685,29.1,149271,2556932148,149.23,25018526,858997,225670,Other excl India and Indonesia
2022,35711,463919,29.1,152788,2588614429,149.29,25787496,884698,232279,Other excl India and Indonesia
2023,36402,479171,29.2,156079,2630635892,149.29,26549465,910418,238766,Other excl India and Indonesia
2024,36820,494690,29.2,159253,2667378233,149.27,27307944,936186,245423,Other excl India and Indonesia
1979,10384,40112,29.2,16324,,,2429516,83248,16428,Other incl India and Indonesia
1980,12445,42261,32.6,15838,,,2896828,88809,18265,Other incl India and Indonesia
1981,12845,44287,31.4,16864,,,2953631,94101,20105,Other incl India and Indonesia
1982,14290,44511,32.1,14272,,,3052796,95160,22087,Other incl India and Indonesia
1983,14125,45088,33.7,13806,,,3178163,94228,21209,Other incl India and Indonesia
1984,14737,50015,31.5,12576,,,3126494,99327,21999,Other incl India and Indonesia
1985,16401,59465,31,15771,,,3602746,116191,24554,Other incl India and Indonesia
1986,16626,77691,31,18078,,,4485148,144646,32251,Other incl India and Indonesia
1987,15823,84335,31.8,33740,,,5589621,175959,42061,Other incl India and Indonesia
1988,17276,84806,30.2,48420,,,6088925,201857,51355,Other incl India and Indonesia
1989,17585,98427,28.3,52470,,,6223755,219648,51166,Other incl India and Indonesia
1990,20425,102805,28.8,57017,,,6567311,228316,48069,Other incl India and Indonesia
1991,17725,107216,26.4,46328,,,5711826,216070,44801,Other incl India and Indonesia
1992,20216,129252,25.3,47618,,,6265718,247274,50188,Other incl India and Indonesia
1993,21199,177798,24.3,44686,,,7268473,299528,55845,Other incl India and Indonesia
1994,25754,213305,24.1,52706,,,8610528,356709,64944,Other incl India and Indonesia
1995,27017,216940,24.4,62265,,,9324453,382672,76450,Other incl India and Indonesia
1996,29473,228835,25.3,78008,,,10750676,424110,87794,Other incl India and Indonesia
1997,29440,213539,26.6,77196,,,10896469,409180,89005,Other incl India and Indonesia
1998,31005,196821,25.9,79071,,,10364310,400484,93586,Other incl India and Indonesia
1999,33379,226306,25.5,82694,1368014669,188.7,11263644,441373,98994,Other incl India and Indonesia
2000,34433,253014,26,80823,1567631875,203.71,12535012,481579,113309,Other incl India and Indonesia
2001,36492,251909,28.1,95562,1719062881,218.88,14074219,501319,117356,Other incl India and Indonesia
2002,36531,262902,29,104762,2063740229,227.26,15131781,521666,117471,Other incl India and Indonesia
2003,34819,245332,29.5,97740,1657783506,144.64,14888716,504281,126390,Other incl India and Indonesia
2004,38508,249773,28,93269,1657330004,134.33,14544485,519532,137981,Other incl India and Indonesia
2005,40712,248510,28.6,86929,1634125938,141.35,14839485,518700,142549,Other incl India and Indonesia
2006,41598,249827,29.9,92831,1784026062,138.31,15824283,528900,144644,Other incl India and Indonesia
2007,40648,249394,30.6,105109,1926426394,136.05,16791163,549189,154038,Other incl India and Indonesia
2008,41504,252645,32.2,107090,1811323754,135.86,18242583,566621,165382,Other incl India and Indonesia
2009,38061,261807,31.9,102317,1856625640,133.92,17998395,564277,162092,Other incl India and Indonesia
2010,39535,274542,31,107788,1636093236,129.14,17954755,578826,156961,Other incl India and Indonesia
2011,40241,306608,30.4,122519,1986667022,133.49,19603041,644384,175016,Other incl India and Indonesia
2012,39238,272048,29.7,113971,1590467313,128.38,17862261,601755,176498,Other incl India and Indonesia
2013,40023,291326,29.6,119568,1707999030,134.88,18632223,628550,177633,Other incl India and Indonesia
2014,42585,312955,31.7,128765,1828053211,130.22,21032474,662533,178227,Other incl India and Indonesia
2015,41620,345715,31.7,134053,2339213613,139.67,22543543,710917,189528,Other incl India and Indonesia
2016,42703,426197,29.7,145388,2533307441,153.88,24543531,825422,211134,Other incl India and Indonesia
2017,45211,466194,29.1,152420,2954618535,169.54,25920435,891017,227192,Other incl India and Indonesia
2018,44445,502712,29.2,154696,2852962543,165.47,27509031,943180,241327,Other incl India and Indonesia
2019,43484,532020,29.3,159638,2980196651,164.98,28836467,984352,249210,Other incl India and Indonesia
2020,44793,555625,29.4,164666,3024231814,163.13,30110010,1023451,258366,Other incl India and Indonesia
2021,45621,579929,29.5,169637,3109152686,163.97,31350854,1062380,267193,Other incl India and Indonesia
2022,46274,604498,29.6,174382,3174200251,164.73,32585114,1101495,276340,Other incl India and Indonesia
2023,47278,628836,29.6,178904,3248880825,165.34,33805348,1140230,285212,Other incl India and Indonesia
2024,48002,653802,29.7,183333,3319904430,165.99,35029067,1179418,294282,Other incl India and Indonesia
1979,480,1732,,432,,,,2952,308,Singapore
1980,548,2272,,272,,,,3568,476,Singapore
1981,720,2656,,376,,,,4328,576,Singapore
1982,764,3064,,396,,,,4800,576,Singapore
1983,852,4239,,256,,,,6019,672,Singapore
1984,912,5416,,444,,,,7420,648,Singapore
1985,1000,6512,,352,,,,8572,708,Singapore
1986,1162,11508,,613,,,,14181,898,Singapore
1987,1254,11053,,1350,,,,14932,1275,Singapore
1988,1267,10444,,1329,,,,14679,1639,Singapore
1989,1219,11135,,969,,,,14808,1485,Singapore
1990,1417,11491,,1064,,,,15207,1235,Singapore
1991,1568,13212,,1171,,,,17342,1391,Singapore
1992,1864,14205,,1395,,,,19044,1580,Singapore
1993,1779,18536,,1748,,,,23883,1820,Singapore
1994,2504,17609,,1688,,,,23784,1983,Singapore
1995,2433,15108,,1291,,,,21332,2500,Singapore
1996,3195,16247,,1906,,,,24185,2837,Singapore
1997,3316,19034,14.1,2141,,,388879,27527,3036,Singapore
1998,3603,17617,13.5,2437,,,360349,26748,3091,Singapore
1999,3985,24126,13.4,2530,99363769,241.65,454483,33913,3272,Singapore
2000,4345,25241,14,2285,113158099,369.01,499294,35759,3888,Singapore
2001,4321,22187,13.8,2443,123926723,307.22,454393,32816,3865,Singapore
2002,4039,22343,14.2,3181,95543900,274.02,484200,34027,4464,Singapore
2003,4351,21914,14.2,1891,104271080,223.82,463642,32633,4478,Singapore
2004,4924,21008,13.3,2512,72866644,198.28,440939,33128,4684,Singapore
2005,5070,16933,12.3,3014,60045705,138.27,369240,29939,4921,Singapore
2006,5531,15478,14.4,2721,70426980,203.89,408245,28307,4577,Singapore
2007,4767,13572,15.1,3385,75517730,240.48,406024,26951,5226,Singapore
2008,5163,15004,14.5,3658,81010340,227.21,421453,28971,5146,Singapore
2009,4481,16461,13.9,3112,88132602,287.22,411891,29711,5657,Singapore
2010,5077,16169,14.8,3911,77808173,206.83,450182,30477,5321,Singapore
2011,5246,22865,13.8,3834,94570033,239.44,534546,38786,6841,Singapore
2012,5140,21192,14,3774,98929132,183.96,510119,36548,6442,Singapore
2013,5277,25615,13.8,3963,145026107,263.06,584589,42362,7507,Singapore
2014,6424,28119,14.4,4662,167662281,296.62,674893,46912,7707,Singapore
2015,5876,32650,14.4,3266,238374041,273.22,715174,49623,7830,Singapore
2016,5928,39026,13.5,3750,248076724,235.41,775365,57455,8751,Singapore
2017,6610,39014,13.1,4493,224815936,230.89,771652,58699,8583,Singapore
2018,6263,44416,13.8,4026,266482540,264.49,873517,63404,8699,Singapore
2019,5538,51390,13.8,3497,286645670,264.52,940335,68168,7743,Singapore
2020,5625,54285,13.9,3565,301677668,264.5,991958,71578,8103,Singapore
2021,5816,57196,13.9,3694,317275226,264.49,1043719,75191,8485,Singapore
2022,5935,60050,13.9,3782,332053999,264.47,1092964,78608,8841,Singapore
2023,6059,62638,13.9,3872,345542166,264.46,1137200,81718,9150,Singapore
2024,6173,65360,13.9,3957,359494144,264.45,1183205,84965,9475,Singapore
1979,4360,8444,48.9,3800,,,1583700,32364,15760,UK
1980,4632,8824,46.8,2680,,,1596450,34101,17965,UK
1981,4769,10152,46.3,2389,,,1763907,38072,20762,UK
1982,5352,10316,46.7,2016,,,1771664,37931,20247,UK
1983,5728,11308,44.3,1672,,,1731084,39096,20388,UK
1984,5888,12448,43.2,1764,,,1736097,40209,20109,UK
1985,6092,14155,43.4,2248,,,1893624,43612,21117,UK
1986,6099,18381,43.1,2601,,,2138679,49671,22590,UK
1987,6894,22066,42.1,3859,,,2569100,61048,28229,UK
1988,7300,25409,40,4739,,,2909375,72704,35256,UK
1989,6281,27064,38.5,5645,,,2859680,74337,35347,UK
1990,6680,33101,36.6,7326,,,3192891,87255,40148,UK
1991,5664,36318,35.7,6937,,,3137433,87944,39025,UK
1992,6483,39137,32.8,6283,,,3169126,96523,44620,UK
1993,6118,46894,32.6,6275,,,3370108,103387,44100,UK
1994,7630,53234,31.7,8716,,,3675212,116067,46487,UK
1995,8529,56647,31.9,8945,,,3901950,122399,48278,UK
1996,8705,64941,31.8,8814,,,4336376,136485,54025,UK
1997,8599,72857,30.4,9121,,,4509302,148181,57604,UK
1998,8919,70878,30.6,10294,,,4745547,155302,65211,UK
1999,8106,81534,31,10137,700717226,164.48,5210637,168289,68513,UK
2000,9282,97795,29.3,9019,804202647,166.12,5884459,200598,84502,UK
2001,9240,108826,30.6,9134,954471439,170.32,6481145,211695,84495,UK
2002,9068,128167,31.8,8968,1233212441,192.17,7533670,236924,90721,UK
2003,9400,143354,31.6,10596,1213377876,164.26,8385767,265034,101684,UK
2004,9897,150682,30.9,12059,1229451223,154.2,8799084,285206,112568,UK
2005,11695,167669,29.7,13220,1411649631,183.43,9183716,309156,116572,UK
2006,12377,150990,30.2,12240,1258006002,162.57,8949575,296555,120948,UK
2007,12082,147369,29.4,11461,1381028822,151.25,8646567,293973,123062,UK
2008,11571,144452,29.8,12501,1315742135,165.21,8528653,286400,117876,UK
2009,10254,124492,29.6,9297,1142780669,159.42,7670609,259564,115521,UK
2010,10269,111039,29.2,9588,939048340,139.26,6887235,235704,104809,UK
2011,10427,103349,28.9,11013,834408756,143.97,6674478,230947,106158,UK
2012,9780,72188,29.9,9315,662751217,122.33,5689429,190338,99054,UK
2013,10027,76258,30,9594,611881891,129.81,5774010,192220,96341,UK
2014,10013,77372,29,9806,784129250,142.63,5651637,194689,97497,UK
2015,9833,85716,28.3,9865,1054898600,177.28,5777359,204112,98698,UK
2016,10270,96023,28.5,10624,927921439,132.23,6296635,221316,104398,UK
2017,10623,116309,26,12628,1039359945,152.32,6507430,250019,110459,UK
2018,10240,110128,28.9,11215,956903427,152.34,7011355,242405,110822,UK
2019,10845,114255,29,11904,988624189,152.84,7378401,254506,117502,UK
2020,11411,117507,29,12364,1021396475,158.4,7683012,264666,123385,UK
2021,11894,119637,29,12774,1055255142,157.75,7909975,272586,128281,UK
2022,12403,121812,29,13186,1090236203,160.64,8139485,280742,133341,UK
2023,12936,123999,29,13618,1126376864,163.11,8374842,289142,138588,UK
2024,13494,126199,28.9,14066,1163715567,164.54,8616844,297794,144035,UK
1979,6428,38276,17,10328,,,1020708,60216,5184,US
1980,8304,54235,16.6,9100,,,1292327,77800,6161,US
1981,8941,53950,17.4,7330,,,1337897,76798,6577,US
1982,9758,53096,17,6368,,,1298716,76314,7092,US
1983,10556,60196,16.6,7544,,,1435936,86720,8424,US
1984,11092,73069,15.4,7880,,,1555712,101032,8991,US
1985,10397,93384,16,8320,,,1965614,122960,10859,US
1986,11130,120210,14.8,11243,,,2285043,153974,11391,US
1987,11017,138173,13.6,18945,,,2448551,180354,12219,US
1988,13383,123357,13.5,16990,,,2258196,167525,13795,US
1989,12244,97126,14.7,14754,,,2019744,137509,13385,US
1990,13201,95846,15.2,15955,,,2127440,139664,14662,US
1991,11439,88207,14.3,17804,,,1903738,132690,15240,US
1992,13350,85551,15,14865,,,1973664,131357,17591,US
1993,13649,98385,15,14502,,,2153334,143596,17060,US
1994,15066,107729,14.9,17461,,,2366982,158493,18237,US
1995,16491,100669,15.1,16490,,,2304490,152203,18553,US
1996,18090,93137,15.5,15138,,,2284294,147389,21024,US
1997,18944,87390,15.6,15378,,,2242826,143577,21865,US
1998,19447,99872,15.4,18465,,,2504356,162361,24578,US
1999,20952,116086,16.5,16747,626640216,316.11,2979679,180907,27122,US
2000,20745,125047,15.5,18511,881268177,349.23,3034510,196078,31775,US
2001,17634,119084,17.1,19060,950849051,353.4,3201012,187421,31643,US
2002,18916,132750,17.3,19154,910772954,354.79,3550365,205254,34434,US
2003,18541,134127,17.9,22560,727358712,232.67,3796574,211800,36573,US
2004,19920,135590,18.1,22214,771488968,250.79,3970734,219549,41824,US
2005,21810,130361,18.3,22530,667216228,211.75,3961909,216117,41416,US
2006,21483,137891,18,23103,785674156,243.51,4073893,226884,44407,US
2007,20204,132581,18.3,23250,801741276,244.6,3969564,216945,40910,US
2008,19936,131751,17.8,21733,750676856,238.14,3801778,213373,39954,US
2009,17265,119922,18.3,18783,654069676,246.08,3638246,198665,42695,US
2010,19789,110698,18.3,18901,517833326,158.73,3490129,190799,41412,US
2011,19644,105078,18.9,20687,481958763,188.98,3503565,185225,39816,US
2012,19611,99449,18.4,19048,477643192,185.07,3280879,178340,40232,US
2013,19813,120595,17.7,20264,582368935,173.45,3568543,202016,41344,US
2014,19931,134396,17.3,22734,762492223,184.14,3822953,220817,43755,US
2015,20066,151116,17.1,24870,1065003140,265.01,4150335,243307,47255,US
2016,21278,187877,16.2,27366,1101127783,258.72,4721114,291860,55340,US
2017,23104,214853,15.4,32382,1294202797,301.67,5091364,331105,60766,US
2018,25645,233038,15,36636,1482495488,277.01,5466235,364186,68867,US
2019,26205,262304,15,37099,1646194566,284.85,5983711,398614,73006,US
2020,27660,280849,15,39942,1811501314,288.46,6406709,426535,78085,US
2021,29020,297911,15,42585,1957163976,291.99,6793993,452261,82744,US
2022,30114,312887,15,44943,2094960292,295.53,7129148,474762,86818,US
2023,31145,327191,15,47224,2221500756,299.12,7452001,496265,90704,US
2024,32036,340362,15,49363,2333461120,302.77,7750854,516037,94276,US
